pre_proc,redux_func,n_components,dist,t,P1pp,P1_True,P1_len,P2pp,P2_True,P2_len
scalarop_nothing,Nothing,169,Manhattan,886.0503828525543,0.2703180212014134,153,566,0.2566037735849057,68,265
scalarop_nothing,Nothing,169,Camberra,822.3889541625978,0.0,0,566,0.0,0,265
scalarop_nothing,Nothing,169,BrayCurtis,1175.8656809329989,0.2703180212014134,153,566,0.2566037735849057,68,265
escalaropt_missings,Nothing,169,Manhattan,882.7232875823975,0.254416961130742,144,566,0.2716981132075472,72,265
scalarop_nothing,npSVD,169,Manhattan,964.317370414734,0.21024734982332155,119,566,0.29056603773584905,77,265
escalaropt_missings,npSVD,169,Manhattan,963.6802108287812,0.21024734982332155,119,566,0.2641509433962264,70,265
scalarop_nothing,_NMF,10,Manhattan,653.770592212677,0.1855123674911661,105,566,0.19622641509433966,52,265
scalarop_nothing,_NMF,20,Manhattan,666.8094811439513,0.20318021201413428,115,566,0.2566037735849057,68,265
scalarop_nothing,_NMF,30,Manhattan,687.6961369514465,0.2773851590106007,157,566,0.2452830188679245,65,265
scalarop_nothing,_NMF,40,Manhattan,713.767324924469,0.2791519434628975,158,566,0.27547169811320754,73,265
scalarop_nothing,_NMF,50,Manhattan,724.2013835906982,0.28975265017667845,164,566,0.2981132075471698,79,265
scalarop_nothing,_NMF,60,Manhattan,747.1844401359558,0.284452296819788,161,566,0.25660377358490566,68,265
scalarop_nothing,_NMF,70,Manhattan,766.8219027519226,0.2597173144876325,147,566,0.25660377358490566,68,265
scalarop_nothing,_NMF,80,Manhattan,792.9003713130951,0.27208480565371024,154,566,0.2528301886792453,67,265
scalarop_nothing,_NMF,90,Manhattan,818.6952307224274,0.25265017667844525,143,566,0.2528301886792453,67,265
scalarop_nothing,_NMF,100,Manhattan,845.331465959549,0.29858657243816256,169,566,0.2641509433962264,70,265
scalarop_nothing,_NMF,110,Manhattan,870.8711950778961,0.2862190812720848,162,566,0.2339622641509434,62,265
scalarop_nothing,_NMF,120,Manhattan,898.692723274231,0.2667844522968198,151,566,0.25660377358490566,68,265
scalarop_nothing,_NMF,130,Manhattan,939.8209671974182,0.24381625441696114,138,566,0.2490566037735849,66,265
scalarop_nothing,_NMF,140,Manhattan,935.9851996898651,0.24381625441696114,138,566,0.2339622641509434,62,265
scalarop_nothing,_NMF,150,Manhattan,960.8567800521851,0.22084805653710246,125,566,0.24528301886792453,65,265
escalaropt_missings,_NMF,10,Manhattan,659.6363661289215,0.1625441696113074,92,566,0.24528301886792453,65,265
escalaropt_missings,_NMF,20,Manhattan,702.3338587284088,0.196113074204947,111,566,0.23018867924528302,61,265
escalaropt_missings,_NMF,30,Manhattan,731.3189997673035,0.2579505300353357,146,566,0.24528301886792453,65,265
escalaropt_missings,_NMF,40,Manhattan,767.2431893348694,0.25618374558303886,145,566,0.2528301886792453,67,265
escalaropt_missings,_NMF,50,Manhattan,788.460841178894,0.25265017667844525,143,566,0.26037735849056604,69,265
escalaropt_missings,_NMF,60,Manhattan,793.8788573741913,0.27208480565371024,154,566,0.27547169811320754,73,265
escalaropt_missings,_NMF,70,Manhattan,820.9232060909271,0.2579505300353357,146,566,0.2679245283018868,71,265
escalaropt_missings,_NMF,80,Manhattan,834.2364571094513,0.2597173144876325,147,566,0.24150943396226415,64,265
escalaropt_missings,_NMF,90,Manhattan,850.9790530204773,0.25618374558303886,145,566,0.2679245283018868,71,265
escalaropt_missings,_NMF,100,Manhattan,864.1891405582428,0.254416961130742,144,566,0.25660377358490566,68,265
escalaropt_missings,_NMF,110,Manhattan,881.2864985466003,0.254416961130742,144,566,0.26037735849056604,69,265
escalaropt_missings,_NMF,120,Manhattan,903.5548284053802,0.2137809187279152,121,566,0.2339622641509434,62,265
escalaropt_missings,_NMF,130,Manhattan,920.4602551460266,0.22968197879858657,130,566,0.24150943396226415,64,265
escalaropt_missings,_NMF,140,Manhattan,941.9848124980927,0.21731448763250882,123,566,0.2679245283018868,71,265
escalaropt_missings,_NMF,150,Manhattan,954.2391891479492,0.2314487632508834,131,566,0.2339622641509434,62,265
scalarop_nothing,_TruncatedSVD,10,Manhattan,641.4891307353973,0.23674911660777384,134,566,0.23018867924528302,61,265
scalarop_nothing,_TruncatedSVD,20,Manhattan,656.0892992019653,0.19257950530035337,109,566,0.19622641509433963,52,265
scalarop_nothing,_TruncatedSVD,30,Manhattan,681.0389337539673,0.2332155477031802,132,566,0.2490566037735849,66,265
scalarop_nothing,_TruncatedSVD,40,Manhattan,703.512380361557,0.24558303886925795,139,566,0.2641509433962264,70,265
scalarop_nothing,_TruncatedSVD,50,Manhattan,724.038055896759,0.26325088339222613,149,566,0.25660377358490566,68,265
scalarop_nothing,_TruncatedSVD,60,Manhattan,748.9603872299194,0.26325088339222613,149,566,0.26037735849056604,69,265
scalarop_nothing,_TruncatedSVD,70,Manhattan,767.7540340423584,0.2597173144876325,147,566,0.2679245283018868,71,265
scalarop_nothing,_TruncatedSVD,80,Manhattan,795.0694842338562,0.25618374558303886,145,566,0.27169811320754716,72,265
scalarop_nothing,_TruncatedSVD,90,Manhattan,811.9094731807709,0.254416961130742,144,566,0.27169811320754716,72,265
scalarop_nothing,_TruncatedSVD,100,Manhattan,837.7532207965851,0.25265017667844525,143,566,0.26037735849056604,69,265
scalarop_nothing,_TruncatedSVD,110,Manhattan,857.0403575897217,0.25265017667844525,143,566,0.26037735849056604,69,265
scalarop_nothing,_TruncatedSVD,120,Manhattan,874.7923657894135,0.2508833922261484,142,566,0.2528301886792453,67,265
scalarop_nothing,_TruncatedSVD,130,Manhattan,895.7800862789154,0.2508833922261484,142,566,0.2528301886792453,67,265
scalarop_nothing,_TruncatedSVD,140,Manhattan,921.5021307468414,0.25265017667844525,143,566,0.2528301886792453,67,265
scalarop_nothing,_TruncatedSVD,150,Manhattan,938.5475215911865,0.25265017667844525,143,566,0.2490566037735849,66,265
escalaropt_missings,_TruncatedSVD,10,Manhattan,642.5173034667969,0.196113074204947,111,566,0.2528301886792453,67,265
escalaropt_missings,_TruncatedSVD,20,Manhattan,657.2666766643524,0.1872791519434629,106,566,0.20754716981132076,55,265
escalaropt_missings,_TruncatedSVD,30,Manhattan,679.2384240627289,0.2332155477031802,132,566,0.23018867924528302,61,265
escalaropt_missings,_TruncatedSVD,40,Manhattan,701.5933380126953,0.24028268551236748,136,566,0.2641509433962264,70,265
escalaropt_missings,_TruncatedSVD,50,Manhattan,724.6841278076172,0.24558303886925795,139,566,0.25660377358490566,68,265
escalaropt_missings,_TruncatedSVD,60,Manhattan,748.3863561153412,0.24558303886925795,139,566,0.26037735849056604,69,265
escalaropt_missings,_TruncatedSVD,70,Manhattan,768.2176859378815,0.24734982332155478,140,566,0.2641509433962264,70,265
escalaropt_missings,_TruncatedSVD,80,Manhattan,788.7674567699432,0.24558303886925795,139,566,0.27169811320754716,72,265
escalaropt_missings,_TruncatedSVD,90,Manhattan,809.6301734447479,0.23674911660777384,134,566,0.27169811320754716,72,265
escalaropt_missings,_TruncatedSVD,100,Manhattan,831.6355369091034,0.22614840989399293,128,566,0.27169811320754716,72,265
escalaropt_missings,_TruncatedSVD,110,Manhattan,852.8556616306305,0.2332155477031802,132,566,0.26037735849056604,69,265
escalaropt_missings,_TruncatedSVD,120,Manhattan,869.2151212692261,0.22614840989399293,128,566,0.25660377358490566,68,265
escalaropt_missings,_TruncatedSVD,130,Manhattan,893.3381226062775,0.22438162544169613,127,566,0.25660377358490566,68,265
escalaropt_missings,_TruncatedSVD,140,Manhattan,909.6679513454437,0.22438162544169613,127,566,0.2641509433962264,70,265
escalaropt_missings,_TruncatedSVD,150,Manhattan,932.8941271305084,0.22438162544169613,127,566,0.2641509433962264,70,265
scalarop_nothing,_IncrementalPCA,10,Manhattan,642.0734195709229,0.20848056537102475,118,566,0.2188679245283019,58,265
scalarop_nothing,_IncrementalPCA,20,Manhattan,660.8765692710876,0.1978798586572438,112,566,0.25660377358490566,68,265
scalarop_nothing,_IncrementalPCA,30,Manhattan,681.5426449775696,0.2420494699646643,137,566,0.24150943396226415,64,265
scalarop_nothing,_IncrementalPCA,40,Manhattan,699.272483587265,0.25265017667844525,143,566,0.2528301886792453,67,265
scalarop_nothing,_IncrementalPCA,50,Manhattan,728.192314863205,0.26855123674911663,152,566,0.2528301886792453,67,265
scalarop_nothing,_IncrementalPCA,60,Manhattan,744.5346782207489,0.27208480565371024,154,566,0.26037735849056604,69,265
scalarop_nothing,_IncrementalPCA,70,Manhattan,770.9532091617584,0.2703180212014134,153,566,0.2490566037735849,66,265
scalarop_nothing,_IncrementalPCA,80,Manhattan,782.4567229747772,0.26148409893992935,148,566,0.2528301886792453,67,265
scalarop_nothing,_IncrementalPCA,90,Manhattan,813.2710866928101,0.26501766784452296,150,566,0.26037735849056604,69,265
scalarop_nothing,_IncrementalPCA,100,Manhattan,821.8321285247803,0.2597173144876325,147,566,0.26037735849056604,69,265
scalarop_nothing,_IncrementalPCA,110,Manhattan,849.1531567573547,0.254416961130742,144,566,0.2490566037735849,66,265
scalarop_nothing,_IncrementalPCA,120,Manhattan,862.8935632705688,0.2508833922261484,142,566,0.24528301886792453,65,265
scalarop_nothing,_IncrementalPCA,130,Manhattan,884.2518246173859,0.24911660777385158,141,566,0.2490566037735849,66,265
scalarop_nothing,_IncrementalPCA,140,Manhattan,900.5459444522858,0.24911660777385158,141,566,0.2490566037735849,66,265
scalarop_nothing,_IncrementalPCA,150,Manhattan,926.1225099563599,0.24911660777385158,141,566,0.2490566037735849,66,265
escalaropt_missings,_IncrementalPCA,10,Manhattan,650.632462978363,0.20141342756183744,114,566,0.2830188679245283,75,265
escalaropt_missings,_IncrementalPCA,20,Manhattan,660.8608939647675,0.18197879858657243,103,566,0.2188679245283019,58,265
escalaropt_missings,_IncrementalPCA,30,Manhattan,679.7857527732849,0.2332155477031802,132,566,0.2528301886792453,67,265
escalaropt_missings,_IncrementalPCA,40,Manhattan,701.4160423278809,0.24028268551236748,136,566,0.2679245283018868,71,265
escalaropt_missings,_IncrementalPCA,50,Manhattan,725.0015733242035,0.24558303886925795,139,566,0.28679245283018867,76,265
escalaropt_missings,_IncrementalPCA,60,Manhattan,745.9019570350647,0.25618374558303886,145,566,0.27547169811320754,73,265
escalaropt_missings,_IncrementalPCA,70,Manhattan,763.5235126018524,0.2508833922261484,142,566,0.2679245283018868,71,265
escalaropt_missings,_IncrementalPCA,80,Manhattan,787.616632938385,0.25265017667844525,143,566,0.27547169811320754,73,265
escalaropt_missings,_IncrementalPCA,90,Manhattan,819.557014465332,0.254416961130742,144,566,0.27169811320754716,72,265
escalaropt_missings,_IncrementalPCA,100,Manhattan,823.8133974075317,0.24911660777385158,141,566,0.27547169811320754,73,265
escalaropt_missings,_IncrementalPCA,110,Manhattan,849.1060569286346,0.24558303886925795,139,566,0.27169811320754716,72,265
escalaropt_missings,_IncrementalPCA,120,Manhattan,873.5534994602203,0.24558303886925795,139,566,0.2679245283018868,71,265
escalaropt_missings,_IncrementalPCA,130,Manhattan,901.6868588924408,0.24734982332155478,140,566,0.2679245283018868,71,265
escalaropt_missings,_IncrementalPCA,140,Manhattan,914.4380164146423,0.24558303886925795,139,566,0.2679245283018868,71,265
escalaropt_missings,_IncrementalPCA,150,Manhattan,932.9600291252136,0.24558303886925795,139,566,0.2679245283018868,71,265
scalarop_nothing,_FactorAnalysis,10,Manhattan,1065.2500114440918,0.21024734982332155,119,566,0.2679245283018868,71,265
scalarop_nothing,_FactorAnalysis,20,Manhattan,750.9419736862183,0.2314487632508834,131,566,0.2641509433962264,70,265
scalarop_nothing,_FactorAnalysis,30,Manhattan,787.7891788482666,0.2137809187279152,121,566,0.29056603773584905,77,265
scalarop_nothing,_FactorAnalysis,40,Manhattan,841.6522517204285,0.23851590106007067,135,566,0.27169811320754716,72,265
scalarop_nothing,_FactorAnalysis,50,Manhattan,915.2936475276947,0.19964664310954064,113,566,0.27169811320754716,72,265
